id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,guests_included,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,percent_host_response_rate,price_in$,weekly_price_in$,monthly_price_in$,security_deposit_in$,cleaning_fee_in$,extra_people_in$,host_since,host_response_time,host_is_superhost,host_neighbourhood,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,city,state,country_code,is_location_exact,room_type,calendar_updated,has_availability,first_review,last_review,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,email_host_verifications,weibo_host_verifications,sesame_offline_host_verifications,jumio_host_verifications,manual_offline_host_verifications,government_id_host_verifications,work_email_host_verifications,reviews_host_verifications,offline_government_id_host_verifications,manual_online_host_verifications,kba_host_verifications,selfie_host_verifications,sesame_host_verifications,facebook_host_verifications,google_host_verifications,phone_host_verifications,identity_manual_host_verifications,is_bed_type_Real Bed,is_bed_type_Pull-out Sofa,is_bed_type_Futon,is_bed_type_Airbed,is_bed_type_Couch,is_property_type_Guest suite,is_property_type_Condominium,is_property_type_Apartment,is_property_type_House,is_property_type_Boat,is_property_type_Townhouse,is_property_type_Serviced apartment,is_property_type_Loft,is_property_type_Bed and breakfast,is_property_type_Bungalow,is_property_type_Other,is_property_type_Villa,is_property_type_Guesthouse,is_property_type_Boutique hotel,is_property_type_In-law,is_property_type_Barn,is_property_type_Hotel,is_property_type_Cottage
5506,20191204162830,8229,6.0,6.0,42.32981,-71.09559,2,1.0,1.0,1.0,225.0,1,3,730,3,3,730,730,3.0,730.0,27,27,27,27,106,26,95.0,10.0,10.0,10.0,10.0,9.0,10.0,6,6,0,0,0.81,100.0,145.0,980.0,3000.0,0.0,60.0,0.0,2009-02-19,within an hour,0.0,Roxbury,1.0,1.0,Roxbury,Roxbury,Boston,MA,US,1,Entire home/apt,today,1,2009-03-21,2019-10-31,1,1,0,strict_14_with_grace_period,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6695,20191204162830,8229,6.0,6.0,42.32994,-71.09351,4,1.0,1.0,2.0,,2,3,730,3,3,730,730,3.0,730.0,18,18,18,18,115,30,96.0,10.0,10.0,10.0,10.0,9.0,10.0,6,6,0,0,0.91,100.0,169.0,,,0.0,80.0,8.0,2009-02-19,within an hour,0.0,Roxbury,1.0,1.0,Roxbury,Roxbury,Boston,MA,US,1,Entire home/apt,today,1,2009-08-06,2019-11-02,1,1,0,strict_14_with_grace_period,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8789,20191204162830,26988,12.0,12.0,42.35919,-71.06265,2,1.0,1.0,1.0,,1,32,365,32,32,365,365,32.0,365.0,30,42,42,186,24,3,93.0,9.0,9.0,10.0,10.0,10.0,9.0,10,10,0,0,0.37,100.0,99.0,1200.0,2900.0,1000.0,250.0,0.0,2009-07-22,within a few hours,1.0,Beacon Hill,1.0,0.0,Beacon Hill,Downtown,Boston,MA,US,1,Entire home/apt,3 months ago,1,2014-08-12,2019-09-30,1,0,0,strict_14_with_grace_period,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10730,20191204162830,26988,12.0,12.0,42.3584,-71.06185,2,1.0,1.0,1.0,,1,91,365,91,91,365,365,91.0,365.0,30,38,38,240,30,3,95.0,10.0,9.0,10.0,10.0,10.0,9.0,10,10,0,0,0.24,100.0,150.0,1200.0,3000.0,1000.0,250.0,0.0,2009-07-22,within a few hours,1.0,Beacon Hill,1.0,0.0,Beacon Hill,Downtown,Boston,MA,US,1,Entire home/apt,3 months ago,1,2009-09-21,2019-09-14,1,0,0,strict_14_with_grace_period,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10811,20191204162830,38997,11.0,11.0,42.34973,-71.08792,3,1.0,0.0,1.0,,1,90,1125,90,90,1125,1125,90.0,1125.0,29,59,89,336,9,2,87.0,9.0,9.0,9.0,8.0,10.0,9.0,7,7,0,0,0.19,100.0,84.0,,2250.0,500.0,150.0,0.0,2009-09-16,within an hour,0.0,Back Bay,1.0,0.0,Back Bay,Back Bay,Boston,MA,US,0,Entire home/apt,4 weeks ago,1,2016-01-09,2019-07-22,1,0,0,strict_14_with_grace_period,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10813,20191204162830,38997,11.0,11.0,42.34961,-71.08904,3,1.0,0.0,1.0,,1,33,1125,33,33,1125,1125,33.0,1125.0,0,0,0,0,78,28,98.0,10.0,10.0,10.0,10.0,10.0,10.0,7,7,0,0,1.81,100.0,179.0,800.0,2250.0,500.0,100.0,0.0,2009-09-16,within an hour,0.0,Back Bay,1.0,0.0,Back Bay,Back Bay,Boston,MA,US,1,Entire home/apt,5 weeks ago,1,2016-05-23,2019-11-30,1,0,0,strict_14_with_grace_period,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10986,20191204162830,38997,11.0,11.0,42.36352,-71.05075,2,1.0,0.0,1.0,,1,91,1125,91,91,1125,1125,91.0,1125.0,29,59,89,364,2,0,,,,,,,,7,7,0,0,0.05,100.0,125.0,,,500.0,145.0,0.0,2009-09-16,within an hour,0.0,Back Bay,1.0,0.0,North End,North End,Boston,MA,US,0,Entire home/apt,a week ago,1,2016-05-23,2016-05-23,1,0,0,strict_14_with_grace_period,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18711,20191204162830,71783,25.0,25.0,42.32329,-71.0621,7,1.0,3.0,3.0,1200.0,3,32,90,32,32,1125,1125,32.0,1125.0,0,0,0,0,52,9,86.0,9.0,9.0,9.0,9.0,9.0,9.0,22,22,0,0,0.45,94.0,150.0,1375.0,3500.0,100.0,175.0,13.0,2010-01-19,within an hour,0.0,Dorchester,1.0,1.0,Dorchester,Dorchester,Boston,MA,US,1,Entire home/apt,3 months ago,1,2010-05-12,2019-10-05,1,1,0,strict_14_with_grace_period,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22354,20191204162830,85770,4.0,4.0,42.34496,-71.07486,1,,1.0,1.0,,1,2,90,2,2,90,90,2.0,90.0,0,0,0,0,315,22,89.0,10.0,9.0,10.0,10.0,10.0,9.0,5,0,5,0,3.1,100.0,148.0,,,0.0,21.0,15.0,2010-02-26,within an hour,1.0,South End,1.0,1.0,South End,South End,Boston,MA,US,1,Private room,3 weeks ago,1,2011-08-02,2019-11-12,1,1,0,moderate,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24240,20191204162830,97821,1.0,1.0,42.36366,-71.05023,5,2.0,2.0,3.0,0.0,2,2,30,1,2,30,30,1.4,30.0,0,0,0,198,103,21,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,0.93,100.0,290.0,1700.0,,0.0,0.0,65.0,2010-03-23,within a day,0.0,North End,1.0,0.0,North End,North End,Boston,MA,US,1,Entire home/apt,6 days ago,1,2010-10-16,2019-10-03,1,0,0,strict_14_with_grace_period,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
